Distance,Point,B,L,H,Density_Cs_min,Density_Cs_max,,Density_Sr_min,Density_Sr_max,log-normal,SA_Cs-137,SA_Sr-90,Soil_Type,Soil_Subtype,Soil_Granulometry,Plant_Formation,Plant_Type,Age,"Wood_Stock, m3/ha",Wood_ATF_Cs-137,Wood_ATF_Sr-90,Leaf_Cs-137,Leaf_Sr-90,SA_Cs_Wood,Leaf,Dose_external,Dose_internal (inhal.),3.90E-08,1.60E-07,1.00E-08,1.41,internal (inhal.),internal (inhal.),internal (inhal.),internal (inhal.) 2040 h,internal (inhal.) 2040 h,internal (inhal.) 2040 h,,,
1.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3161,30.8613,"52.316062,30.8612762307692"
2,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3162,30.8599,"52.316183,30.8598864615384"
2.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3163,30.8585,"52.316304,30.8584966923076"
2.2,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3164,30.8571,"52.316425,30.8571069230769"
2.3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3165,30.8557,"52.316546,30.8557171538461"
2.4,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3167,30.8543,"52.316667,30.8543273846153"
2.5,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3168,30.8529,"52.316788,30.8529376153846"
2.6,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3169,30.8515,"52.316909,30.8515478461538"
2.7,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3170,30.8502,"52.31703,30.850158076923"
2.8,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3172,30.8488,"52.317151,30.8487683076923"
