Stage,UG,Point,B,L,Y_1m_1,Y_1m_2,Y_1m_3,Y_1m_4,Y_1m_5,Y_3cm_1,Y_3cm_2,Y_3cm_3,Y_3cm_4,Y_3cm_5,"M_soil, g","SA_Soil, Bq/kg",+/-,Soil_0_5,Soil_5_10,Soil_10_15,Soil_15_20,Wood,Y_1m,Y_3cm,формация,тип,возраст,запас,"ПЗ, кБк/м2","ПЗ, Ки/км2"
6,,120.5,53.26921371825292,30.81259232405606,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,120.6,53.27001750095078,30.813315614663743,239,210,211,210,236,204,198,202,260,270,1346,1090,137,,,,,,0.2212,0.2268,,,,,,
6,,120.7,53.27082128364863,30.81403890527143,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг73,120.72,53.27098205,30.8141835722222,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,120.8,53.27168926697854,30.814317653627235,226,215,228,218,243,236,267,212,237,265,,,,,,,,,0.226,0.2434,,,,,,
6,,120.9,53.27257330169102,30.814485257940966,205,221,218,217,226,241,241,220,228,244,1037,977,123,,,,,,0.2174,0.2348,,,,,,
6,,121.0,53.273457336403496,30.8146528622547,173,190,179,162,161,184,215,198,178,217,,,,,,,,,0.173,0.1984,конец поля,,,,,
6,,121.1,53.27434137111597,30.814820466568435,237,270,280,157,300,290,320,310,120,350,1491,1207,152,,,,,,0.2488,0.278,лесок,,,,,
6,,121.2,53.27522540582845,30.814988070882166,172,168,241,136,180,202,182,310,168,206,,,,,,,,,0.1794,0.2136,дорога с пролеском,,,,,
6,,121.3,53.27610944054093,30.8151556751959,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,121.4,53.276993475253406,30.815323279509634,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,121.5,53.27787750996588,30.815490883823365,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,121.6,53.27876154467835,30.8156584881371,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
